track_name,artist(s)_name,artist_count,in_spotify_playlists,in_spotify_charts,streams,in_apple_playlists,in_apple_charts,in_deezer_playlists,in_deezer_charts,in_shazam_charts,bpm,mode,danceability_%,valence_%,energy_%,acousticness_%,instrumentalness_%,liveness_%,speechiness_%,genre_category,pos,neg,neu,compound
Money Trees,"Kendrick Lamar, Jay Rock",1.0986122886681098,10.195895938351995,3.4965075614664802,20.812745897311498,4.248495242049359,4.736198448394496,6.54534966033442,0.0,6.129050210060545,144,Minor,74,37,53,2.0794415416798357,0,3.091042453358316,2.3978952727983707,hip-hop,0.162,0.156,0.682,0.7654
Mine (Taylor's Version),Taylor Swift,0.6931471805599453,4.605170185988092,2.772588722239781,17.424050618731165,3.091042453358316,3.970291913552122,1.9459101490553132,0.6931471805599453,0.0,121,Major,65,49,78,0.0,0,2.8903717578961645,1.6094379124341003,other,0.264,0.124,0.612,0.9922
Everybody Wants To Rule The World,Tears For Fears,0.6931471805599453,10.639502633323248,3.258096538021482,20.910534814214394,4.624972813284271,3.4965075614664802,7.884576510596324,0.0,6.502790045915623,112,Major,64,54,81,3.6109179126442243,0,2.4849066497880004,1.9459101490553132,other,0.298,0.04,0.662,0.9792
No Role Modelz,J. Cole,0.6931471805599453,9.960104152955024,3.6109179126442243,21.306040278841238,4.394449154672439,4.189654742026425,6.1675164908883415,0.0,2.70805020110221,100,Minor,70,47,52,3.4339872044851463,0,1.9459101490553132,3.5263605246161616,hip-hop,0.286,0.184,0.529,0.9965
Tattoo,Loreen,0.6931471805599453,8.002694162283937,4.0943445622221,19.12209793352404,4.31748811353631,4.634728988229636,4.983606621708336,2.9444389791664403,6.8308742346461795,150,Minor,55,30,78,3.2188758248682006,0,2.5649493574615367,2.1972245773362196,other,0.128,0.083,0.789,0.9984
august,Taylor Swift,0.6931471805599453,8.899048433885268,3.1354942159291497,20.224243244215966,3.258096538021482,4.406719247264253,4.127134385045092,0.6931471805599453,3.8066624897703196,90,Major,51,42,61,3.9889840465642745,0,2.302585092994046,1.3862943611198906,other,0.23,0.095,0.676,0.9849
Miracle (with Ellie Goulding),"Calvin Harris, Ellie Goulding",1.0986122886681098,8.54110501146255,3.8918202981106265,19.167609349683612,5.087596335232384,4.7535901911063645,5.5093883366279774,2.302585092994046,6.459904454377535,143,Major,64,31,87,1.6094379124341003,16,2.1972245773362196,1.6094379124341003,dance,0.078,0.106,0.816,-0.8807
Nonsense,Sabrina Carpenter,0.6931471805599453,7.760893195851024,3.332204510175204,19.6529434069164,4.248495242049359,2.5649493574615367,3.6635616461296463,2.1972245773362196,4.174387269895637,139,Major,74,68,68,1.3862943611198906,0,3.295836866004329,1.6094379124341003,other,0.205,0.048,0.747,0.9856
Can't Hold Us (feat. Ray Dalton),"Ray Dalton, Ryan Lewis, Macklemore",1.3862943611198906,8.711937268208748,3.970291913552122,21.392905788408786,5.308267697401205,3.8066624897703196,8.787525625532906,1.0986122886681098,0.0,146,Major,63,88,93,1.3862943611198906,0,2.3978952727983707,2.1972245773362196,other,0.11,0.067,0.823,0.9698
Watermelon Sugar,Harry Styles,0.6931471805599453,9.994972242658307,3.5553480614894135,21.56594452665785,6.082218910376446,4.7535901911063645,7.10085190894405,2.5649493574615367,0.0,95,Major,55,56,82,2.5649493574615367,0,3.5553480614894135,1.791759469228055,other,0.111,0.0,0.889,0.9382
